,,,,,,,,,,,,,,,,,
,LOCATION DETAILS:,,,,,,,,,,,,,,,,
,1 HOUR BEHIND,,,,,,,,UPDATE ON RESTRICTED ARRIVAL WINDOWS:,,,,,,,,
,OPS MANAGER: Wayne Kitchur 2043914706 ( PLEASE STILL SEE SIMRAN),,,,,,,,27TH TO THE 3RD,,,,,,,,
,ALT PHONE: RILEY 204-688-8993,,,,,,,,,,,,,,,,
,SALES #: ( PLEASE STILL SEE SIMRAN),,,,,,,,,,,,,,,,
,INTERSECTION:Scurfield and Dovercourt ,,,,,,,,,,,,,,,,
,"ADDRESS: 50 Scurfield Boulevard, Winnipeg, Manitoba R3Y 1G4, Canada",,,,,,,,,,,,,,,,
,E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,AND OPS CALLS UNTIL FURTHER NOTICE BUT SIMRAN IS APPROVING EVERYTHING PRIOR TO BEING BOOKED ,,,,,,,,
,# OF TRUCKS: 5+,,,,,,,,,,,,,,,,
,Terminal ID: 7zQXS26yR,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
WATERLOO,,,,,,,MAR,,WATERLOO,,,,,,,APR,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,1,2,3,4,,,,,,,,,1,,
,,,149,139,139,139,,,,,,,,,149,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,29,,
139,139,139,139,139,149,,,,139,139,139,139,139,139,149,,
,,,,,,,,,30,,,,,,,,
,,,,,,,,,149,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,MAY,,WINNIPEG,,,,,,,JUN,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,,,,,,,,,,,1,2,3,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
