1 HR MIN STARTING AT 179/HR ,,,,,,,,,,,,,,,,,
,LOCATION DETAILS:,,,,,,,,,,,,,,,,
,1 HOUR BEHIND,,,,,,,,UPDATE ON RESTRICTED ARRIVAL WINDOWS:,,,,,,,,
,OPS MANAGER: RALPH (647-561-4770) OR ISABELLE (306-361-7421),,,,,,,,27TH TO THE 3RD,,,,,,,,
,SALES #: (306) 206-0488 - Dial 2 for Operations,,,,,,,,,,,,,,,,
,INTERSECTION: Louise Reil Trl and Circle Dr,,,,,,,,,,,,,,,,
,"ADDRESS: 2505 Koyl Ave, Saskatoon",,,,,,,,,,,,,,,,
,E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,,,,,,,,,
,# OF TRUCKS:  2 TRUCKS ,,,,,,,,,,,,,,,,
,Terminal ID: 9P5hDbkP36GE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
WATERLOO,,,,,,,MAR,,WATERLOO,,,,,,,APR,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,1,2,3,4,,,,,,,,,1,,
,,,149,139,139,139,,,,,,,,,149,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,29,,
139,139,139,139,139,149,,,,139,139,139,139,139,139,149,,
,,,,,,,,,30,,,,,,,,
,,,,,,,,,149,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,MAY,,SASKATOON,,,,,,,JUN,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,,,,,,,,,,,1,2,3,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,18,19,20,21,22,23,24,,
,,,,,,,,,,,129,129,129,129,139,,
,,,,,,,,,25,26,27,28,29,30,,,
