,,,,,,,,,,,,,,,,,,
,,LOCATION DETAILS: Owner:  Aerish 416-570-0828,,,,,,,,,,,,,,,,
,,OPS MANAGER: (905) 291-4747 - Dial 2 for Operations,,,,,,,,UPDATE ON RESTRICTED ARRIVAL WINDOWS:,,,,,,,,
,,SALES #: (905) 291-4747 - Dial 2 for Operations,,,,,,,,NOW THE 27TH TO THE 3RD,,,,,,,,
,,INTERSECTION: Queen St E and Goreway Dr,,,,,,,,,,,,,,,,
,,"ADDRESS: 550 Speers Rd, Oakville",,,,,,,,1 HOUR MINIMUMS (2-4PM) AFTER ANOTHER JOB = $139/HR ALWAYS,,,,,,,,
,,E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,,,,,,,,,
,,# OF TRUCKS:  3 TRUCKs Shares with Brampton and Milton,,,,,,,,,,,,,,,,
,,Terminal ID: : 4y5KCkq27,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Oakville,,,,,,,MAR,,Oakville,,,,,,,APR,
,,,,,,,,,,,,,,,,,,
,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,,1,2,3,4,,,,,,,,,1,,
,,,,149,139,139,139,,,,,,,,,169,,
,5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,
,139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
,12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,
,139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
,19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,
,139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
,26,27,28,29,30,31,,,,23,24,25,26,27,28,29,,
,139,139,189,149,139,149,,,,139,139,139,139,139,139,139,,
,,,,,,,,,,30,,,,,,,,
,,,,,,,,,,169,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Oakville,,,,,,,MAY,,Oakville,,,,,,,JUN,
,,,,,,,,,,,,,,,,,,
