,,,,,,,,,,,,,,,,,,,
,LOCATION DETAILS:,,,,,,,,UPDATE ON RESTRICTED ARRIVAL WINDOWS:,,,,,,,,,,
,OPS MANAGER: Hakam 2893311233,,,,,,,,27TH TO THE 3RD,,,,,,,,,,
,SALES #: (905) 667-9555 - Dial 2 for Operations,,,,,,,,,,,,,,,,,,
,INTERSECTION: QEW and Nicola Tesla Blvd,,,,,,,,,,,,,,,,,,
,"ADDRESS: 65 Biggar Ave, Hamilton",,,,,,,,,,,,,,,,,,
,E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,,,,,,,,,,,
,# OF TRUCKS: 5,,,,,,,,,,,,,,,,,,
,Terminal ID: 97FTRTke7a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HAMILTON,,,,,,,MAR,,HAMILTON,,,,,,,APR,,,
,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,
,,,1,2,3,4,,,,,,,,,1,,,,
,,,149,139,139,139,,,,,,,,,159,,,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,,,
139,139,139,139,139,139,149,,,139,139,139,139,139,139,139,,,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,,,
139,139,139,139,139,159,139,,,139,139,159,139,139,139,139,,,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,,,
139,139,139,139,139,139,139,,,139,189,139,199,139,189,189/159,,,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,29,,,,
139,139,189,149,139,149,,,,139,189,179,219,209/169,219,219,,,,
,,,,,,,,,30,,,,,,,,,,
,,,,,,,,,219/179,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HAMILTON,,,,,,,MAY,,HAMILTON,,,,,,,JUN,,,
,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,
,1,2,3,4,5,6,,,,,,,1,2,3,,,,
,219,159,149,179,189,189,,,,,,,229/179,219,179/159,,,,April 24th: NEW STANDARD PRICING $139 to $149 beginning May
7,8,9,10,11,12,13,,,4,5,6,7,8,9,10,,,,
149,149,149,189/179,189,189/179,199/179,,,159,149,149,209/179,159,159,159,,,,
14,15,16,17,18,19,20,,,11,12,13,14,15,16,17,,,,
199/179,199/179,199/179,199/179,189/179,199/179,179,,,149,179/159,179/159,179,179/159,159,159,,,,
21,22,23,24,25,26,27,,,18,19,20,21,22,23,24,,,,
179,149,179,149,179/159,209/179,209/169,,,159,159,159,169,159,169,189/159,,,,
28,29,30,31,,,,,,25,26,27,28,29,30,,,,,
199/169,199/179,199/179,199/179,,,,,,209/159,209/159,209/169,209/179,209/169,219/179,,,,,
,,,, ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HAMILTON,,,,,,,JUL,,HAMILTON,,,,,,,AUG,,,HAMILTON NEW STANDARD PRICING: $159/H (JULY AND AUGUST)
,,,,,,,,,,,,,,,,,,,ONLY 3 MEN CREW TRUCKS AVAILABLE FOR LONG DISTANCE! OFFER 4TH GUY FOR A LOCAL MOVE ONLY! FOR LONG DISTANCE YOU CAN OFFER 4TH GUY TO HELP LOADING LOCALLY. OFFLOAD MUST BE 3 SINCE ONLY 3 CAN SIT IN THE TRUCK. 
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,
,,,,,,1,,,,,1,2,3,4,5,,,,
,,,,,,219/179,,,,,219/179,219/179,159,159,169,,,,
2,3,4,5,6,7,8,,,6,7,8,9,10,11,12,,,,
219/179,189/159,189/159,179,159,159,179,,,159,169,169,199/169,189,159,189/179,,,,
9,10,11,12,13,14,15,,,13,14,15,16,17,18,19,,,,
189/159,159,159,159,219/179,159,219/179,,,159,189/169,189/179,179,189/159,189/159,189/169,,,,
