LOCATIONS,SPECIAL DISCOUNTS / PRICING
DOWNTOWN TORONTO,N/A
TORONTO (North york), 5% off the final bill - Cash payments only -- Any Job. 
MISSISSAUGA, 5% off the final bill - Cash payments only -- Any Job. 
VANCOUVER, 5% off the final bill - Cash payments only -- Any Job. 
BURNABY, 5% off the final bill - Cash payments only -- Any Job. 
EDMONTON, 5% off the final bill - Cash payments only -- Any Job. 
COQUITLAM & KELOWNA, Oakwyn Realty Referral - $100 off the final bill - by Mention Only
CALGARY, 5% off the final bill 
,
,
OTTAWA, any 1hr min job must be booked at a starting MINIMUM of 179/HR  ALWAYS
HALIFAX, over 80k in rev for the month of July -Pizza party
