LOCATION,CONTACT,DIRECT LINE,OWNERSHIP TYPE,TRUCKS,TRUCKS SHARED WITH,STORAGE,STORAGE SIZES / PRICES PER MONTH,CX CARE
ABBOTSFORD,Anees Aps,780-920-1935,FRANCHISE,1+,,NO,,YES
AJAX,ANDREW,(647) 904-8166,FRANCHISE,3+,,NO,,YES
AURORA,AMIR / ALEX,506-897-3595,FRANCHISE,2 + ,"BARRIE
MARKHAM",LOCKER - BASED ON AVAILABILITY (REACH OUT TO FRANCHAISE),"10Ã20 - $550
10Ã15 - $390
10Ã12 - $300
10Ã10 - $250
8Ã10 - $190",NO
BARRIE,AMIR / ALEX,506-897-3595,FRANCHISE,2 + ,"AURORA
MARKHAM",LOCKER - BASED ON AVAILABILITY (REACH OUT TO FRANCHAISE),"10Ã20 - $550
10Ã15 - $390
10Ã12 - $300
10Ã10 - $250
8Ã10 - $190",NO
BRAMPTON,AERISH / AKSHIT,416-570-0828,FRANCHISE,3 +,"MILTON
OAKVILLE",LOCKER,"10x10x8 - $299 
10x20x8 - $499 
No oversized items",YES
BRANTFORD,HARSH,647-891-4106,FRANCHISE,1 +,,LOCKER - BASED ON AVAILABILITY (REACH OUT TO FRANCHAISE),,NO
BURLINGTON,SIMRANJIT,"647-512-2697, 647-460-0923",FRANCHISE,R +,"ST CATHERINES
WINDSOR",NO,,YES
CALGARY,JASDEEP,514-632-0313,FRANCHISE,3 +,,LOCKER,"8x10 - $199 
8x20 - $269
8x40 - $399
No oversized items",NO
COQUITLAM ,TODD,604-317-7615,FRANCHISE,1+,,NO,,YES
FREDERICTON,KAMBIZ,506-259-8515,FRANCHISE,1 +,,NO,,YES
HALIFAX,MAHMOUD,506 - 461 - 4870,FRANCHISE,R +,,NO,,NO
KELOWNA,TODD,604-317-7615,FRANCHISE,1 +,,POD,ONLY 3 PODS WHICH ARE 5x10x10 -  $275 -- ask before you book if the pods are available. ,YES
KINGSTON,ANIRUDH,613-893-7008,FRANCHISE,4,,POD,"5x12x10- $100
10x12x10- $175
No oversized items",YES
LETHBRIDGE ,PROMISE,403-667-0507,FRANCHISE,1 +,,LOCKER,"13 ft X 9 ft X 10 ft - $199
11 ft X 9 ft X 10 ft- $175
11 ft X 8 ft X 10 ft - $150

(Length X Width X Height)",YES
LONDON,KYLE,226-219-7039,FRANCHISE,1 +,,NO,,YES
MARKHAM,AMIR / ALEX,506-897-3595,FRANCHISE,2 + ,"AURORA
BARRIE",LOCKER - BASED ON AVAILABILITY (REACH OUT TO FRANCHAISE),"10Ã20 - $550
10Ã15 - $390
10Ã12 - $300
10Ã10 - $250
8Ã10 - $190",NO
MILTON,AERISH / AKSHIT,416-570-0828,FRANCHISE,3 +,"BRAMPTON
OAKVILLE",LOCKER,"10x10x8 - $299 
10x20x8 - $499 
No oversized items",YES
MONCTON,,,FRANCHISE,1,,NO,,NO
OAKVILLE,AERISH / AKSHIT,416-578-6021,FRANCHISE,3 +,"BRAMPTON
MILTON",LOCKER,"10x10x8 - 299
10x20x8 - $499
No oversized items
",YES
,,,,,,,,
OTTAWA,HANZE/JAY,"266-808-4305, 613-276-5806",FRANCHISE,4,,LOCKER,"5x5x8 - $99
10x10x8 - $299",NO
PETERBOROUGH,ANDREW,(647) 904-8166,FRANCHISE,2 +,,NO,,YES
REGINA,RALPH / ISABELLA,306-206-2448,FRANCHISE,1,SASKATOON,NO,,YES
RICHMOND,RASOUL,604-368-1061,FRANCHISE,1 +,,NO,,YES
SAINT JOHN,CAMELLIA,506-688-2168,FRANCHISE,"3 RENTALS TILL AUGUST 2ND
",,NO,,YES
SASKATOON,RALPH / ISABELLA,306-206-2448,FRANCHISE,2 +,REGINA,NO,,YES
SCARBOROUGH,KELVIN / ASWIN,"647-979-9910, 647-686-8542",FRANCHISE,1 +,,NO,,YES
ST CATHERINES,SIMRANJIT,647-512-2697,FRANCHISE,R +,"BURLINGTON
WINDSOR",NO,,YES
SURREY,DANIL,416-817-7767,FRANCHISE,3,,NO,,YES
VAUGHAN,FAHIM,647-773-3640,FRANCHISE,3 R +,,NO,,YES
VICTORIA,SUCCESS,778-995-3069,FRANCHISE,2,,NO,,YES
WATERLOO,SADUR,289-763-9495,FRANCHISE,3 +,,POD,"5x5x12 - $175  
10x5x12- $300
No oversized items",NO
WINNIPEG,Wayne,2043914706,FRANCHISE,5+,,LOCKER,"LG LOCKER 12'x12'x15 - $250
MD LOCKER 10'x9'x15 - $200
BIG CRATE 8'x5 1/2'x7 - $150
SM CRATE 5 1/2' x 5 1/2' x 4 - $100",YES
WINDSOR,SIMRANJIT,647-512-2697,FRANCHISE,R +,"BURLINGTON
ST CATHERINES",NO,,YES
WOODSTOCK,N/A,N/A,FRANCHISE,1 +,,NO,,YES
,,,,,,,,
LOCATION,CONTACT,DIRECT LINE,OWNERSHIP TYPE,TRUCKS,TRUCKS SHARED WITH,STORAGE,STORAGE SIZES / PRICES PER MONTH,CX CARE
BURNABY,SHAHBAZ,,CORPORATE,5,,POD,"7x6x7 - $99
oversized items - $50",YES
DOWNTOWN TORONTO,ARSHDEEP,,CORPORATE,6,,POD,"5x10x12 - $350
No oversized items",YES
EDMONTON,DANYLO,,CORPORATE,4,,LOCKER,"5x7x5 - $125
oversized items - $50",YES
HAMILTON,HAKAM,,CORPORATE,5,,POD,"7x6x7 - $99
oversized items - $50",YES
MISSISSAUGA,ARSHDEEP,,CORPORATE,3,,POD,"7x6x7 - $99
oversized items - $50",YES
MONTREAL,BHANU,,CORPORATE,4,,LOCKER,"10x10x8 - $225  
10x20x8 - $399 ",YES
NORTH YORK (TORONTO),ANKIT / ARSHDEEP,,CORPORATE,7,,POD,"7x6x7 - $99
oversized items - $50",YES
VANCOUVER,RASOUL,,CORPORATE,11,,POD,"7x6x7 - $99
oversized items - $50",YES
OSHAWA,416-578-6021/ 289-242-1410,,CORPORATE,Corporate dispatched from North York -Arshdeep and Ankit ,NORTH YORK (TORONTO),POD," 7x6x7 - $99
oversized items - $50",YES
