,,,,,,,,,,,,,,,,,
,LOCATION DETAILS:,,,,,,,,,,,,,,,,
,2 HOURS BEHIND,,,,,,,,,,,,,,,,
,"OPS MANAGER: HARRY (437-256-3488)
Jasdeep: 647-960-0267 or Harleen 514-553-1728 <- contact on What's App for last min",,,,,,,,RESTRICTED TIME SLOT 27TH TO THE 3RD,,,,,,,,
,SALES #:  587-430-3006 - Dial 2 for Operations,,,,,,,,1 HOUR MINIMUMS (2-4PM) AFTER ANOTHER JOB = $179/HR MINIMUM ALWAYS,,,,,,,,
,INTERSECTION: 11 St NE and 40 Ave NE ,,,,,,,,,,,,,,,,
,"ADDRESS: 1122 40 Ave NE unit 120 , Calgary, AB, T2E 5T8",,,,,,,,,,,,,,,,
,E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,,,NO CLEANING,,,,,,
,# OF TRUCKS: 3 - ONLY seats 3 men,,,,,,,,,,,,,,,,
,Terminal ID: 5kra4TT8x,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
DURHAM,,,,,,,MAR,,DURHAM,,,,,,,APR,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,1,2,3,4,,,,,,,,,1,,
,,,149,139,139,139,,,,,,,,,169,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,29,,
139,139,189,149,139,149,,,,139,139,139,139,139,139,139,,
,,,,,,,,,30,,,,,,,,
,,,,,,,,,169,,,,,,,,
,,,,,,,,,,,,,,,,,
DURHAM,,,,,,,MAY,,DURHAM,,,,,,,JUN,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,1,2,3,4,5,6,,,,,,,1,2,3,,Franchisees standard price at $139 requested by Tiam. Juan
,169,139,139,139,139,159,,,,,,,159,159,159,,
7,8,9,10,11,12,13,,,4,5,6,7,8,9,10,,
139,139,139,139,139,159,139,,,159,139,139,139,139,139,149,,
14,15,16,17,18,19,20,,,11,12,13,14,15,16,17,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,149,,
21,22,23,24,25,26,27,,,18,19,20,21,22,23,24,,
159,139,139,139,159,179,159,,,149,139,139,139,139,159/149,149,,
28,29,30,31,,,,,,25,26,27,28,29,30,,,
139,139,139,169,,,,,,139,159/149,159/149,169,159,159,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ETOBICOKE,,,,,,,JUL,,ETOBICOKE,,,,,,,AUG,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,,,,1,,,,,1,2,3,4,5,,
,,,,,,179,,,,,179,159,159,159,169,,
2,3,4,5,6,7,8,,,6,7,8,9,10,11,12,,
159,159,159,159,159,159,169,,,159,159,159,159,159,159,169,,
9,10,11,12,13,14,15,,,13,14,15,16,17,18,19,,
159,159,159,159,159,159,169,,,159,159,159,159,159,159,169,,
16,17,18,19,20,21,22,,,20,21,22,23,24,25,26,,
159,159,159,159,159,159,169,,,159,179,199/169,179,179,179,229/169,,
23,24,25,26,27,28,29,,,27,28,29,30,31,,,,
159,159,159,159,159,159,169,,,159,199/169,179/159,209/169,239/229,,,,
30,31,,,,,,,,,,,,,,,,
169,179,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CALGARY,,,,,,,NOV,,CALGARY,,,,,,,DEC,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,1,2,3,4,,,,,,,,1,2,,
,,,139,129,129,129,,,,,,,,139,139,,
5,6,7,8,9,10,11,,,3,4,5,6,7,8,9,,
129,129,129,129,119,119,119,,,119,119,119,119,119,119,119,,
12,13,14,15,16,17,18,,,10,11,12,13,14,15,16,,
119,119,119,119,119,119,119,,,119,119,129,119,119,119,119,,
19,20,21,22,23,24,25,,,17,18,19,20,21,22,23,,
139,139,139,119,119,119,119,,,119,119,119,119,119,119,119,,
26,27,28,29,30,,,,,24,25,26,27,28,29,30,,
119,119,119,139,139,,,,,119,119,119,119,119,119,129,,
,,,,,,,,,31,,,,,,,,
,,,,,,,,,129,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1 Truck,  2   >   3   >   4,,2 Trucks,  4   >   5   >   6,,,,IMPORTANT NOTES,,,,,,,,
,,119 > 179 > 239,,,238 > 298 > 358,,,,,,,,,,,,
,,129 > 189 > 269,,,258 > 318 > 378,,,,ONLY 3 MEN CREW TRUCKS AVAILABLE FOR LONG DISTANCE! OFFER 4TH GUY FOR A LOCAL MOVE ONLY! FOR LONG DISTANCE YOU CAN OFFER 4TH GUY TO HELP LOADING LOCALLY. OFFLOAD MUST BE 3 SINCE ONLY 3 CAN SIT IN THE TRUCK. ,,,,,,,,
,,139 > 199 > 279,,,278 > 338 > 398,,,,,,,,,,,,
,,149 > 209 > 289,,,298 > 358 > 418,,,,,,,,,,,,
,,159 > 219 > 299,,,318 > 378 > 438,,,,,,,,,,,,
,,169 > 229 > 309,,,338 > 398 > 458,,,,,,,,,,,,
,,179 > 239 > 319,,,358 > 418 > 478,,,,MIN PRICE: $149 ON REGULAR DAYS,,,,,,,,
,,189 > 249 > 329,,,378 > 438 > 498,,,,,,,,,,,,
,,199 > 259 > 339,,,398 > 458 > 518,,,,,,,,,,,,
,,209 > 269 > 349,,,418 > 478 > 538,,,,,,,,,,,,
,,219 > 279 > 359,,,438 > 498 > 558,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,2024 CALENDAR ACTIVE AS OF DEC 8TH,,,,,,,,
,,,,,,,,,,,,,,,,,
CALGARY,,,,,,,JAN,,CALGARY,,,,,,,FEB,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,x
,1,2,3,4,5,6,,,,,,,1,2,3,,
,129,109,109,109,109,119,,,,,,,129,109,119,,
7,8,9,10,11,12,13,,,4,5,6,7,8,9,10,,
109,109,109,109,109,109,119,,,149,149,149,149,149,149,149,,
14,15,16,17,18,19,20,,,11,12,13,14,15,16,17,,
109,109,109,109,109,109,119,,,149,129,129,129,129,129,149,,
21,22,23,24,25,26,27,,,18,19,20,21,22,23,24,,
109,109,109,109,109,119,119,,,129,129,129,129,129,129,149,,
28,29,30,31,,,,,,25,26,27,28,29,,,,
109,129,129,129,,,,,,129,129,129,129,139,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CALGARY,,,,,,,MAR,,CALGARY,,,,,,,APR,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,,,1,2,,,,1,2,3,4,5,6,,
,,,,,139,139,,,,129,129,149,129,149,129,,
3,4,5,6,7,8,9,,,7,8,9,10,11,12,13,,
139,139,139,139,139,139,139,,,129,129,129,129,129,129,149,,
10,11,12,13,14,15,16,,,14,15,16,17,18,19,20,,
139,139,139,139,139,139,139,,,129,149,179,179,129,149,129,,
17,18,19,20,21,22,23,,,21,22,23,24,25,26,27,,
139,139,139,119,119,119,129,,,129,129,129,149,189,189,149,,
24,25,26,27,28,29,30,,,28,29,30,,,,,,
129,119,129,129,129,129,129,,,199,179,189,,,,,,
31,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CALGARY,,,,,,,MAY,,CALGARY,,,,,,,JUN,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,1,2,3,4,,,,,,,,,1,,
,,,169,139,149,149,,,,,,,,,229,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,
139,159,149,199,199,199,199,,,219,209,179,179,149,179,149,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,
199,149,149,149,149,159,169,,,149,149,149,149,169,169,169,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,
149,149,149,149,149,159,189,,,149,149,149,149,169,149,169,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,29,,
149,169,169,169,189,209,,,,149,199,199,229,229,229,169,,
,,,,,,,,,30,,,,,,,,
,,,,,,,,,169,,,,,,,,
,,,,,,,,,,,,,,,,,
CALGARY,,,,,,,JUL,,CALGARY,,,,,,,AUG,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,1,2,3,4,5,6,,,,,,,1,2,3,,
,209,169,169,169,149,199,,,,,,,149,199,199,,
7,8,9,10,11,12,13,,,4,5,6,7,8,9,10,,
149,149,149,149,149,209,199,,,209,169,169,169,169,169,169,,
14,15,16,17,18,19,20,,,11,12,13,14,15,16,17,,
149,169,149,149,149,149,149,,,169,169,169,169,169,169,169,,
21,22,23,24,25,26,27,,,18,19,20,21,22,23,24,,
149,149,149,149,149,149,149,,,169,169,169,169,169,169,169,,
28,29,30,31,,,,,,25,26,27,28,29,30,31,,
149,149,169,169,,,,,,169,229,169,169,169,249,169,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CALGARY,,,,,,,SEP,,CALGARY,,,,,,,OCT,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
1,2,3,4,5,6,7,,,,,1,2,3,4,5,,
219,149,149,149,149,149,149,,,,,229,149,149,189,199,,
8,9,10,11,12,13,14,,,6,7,8,9,10,11,12,,
149,149,149,149,169,169,149,,,169,169,169,169,169,169,169,,
