MOVING TYPE,DEPOSIT AMOUNT 
Moving,$100
Packing,$400
Same Day/Next Day Moves ,$400
Load Only (Our truck only: overnight storage at warehoue or long distance under 10hrs),$100
Unload Only (Our truck only: overnight storage at warehoue or long distance under 10hrs),$100
Load Only and Packing ,$100
Commercial,$100
Storage In Bound,$100
Storage Out Bound,$100
Driving,$100
Storage Inbound and Packing,$100
Labor Only (Customer's own truck or same property but no point B address),$400
Junk Removal,$100
Cleaning,NO DEPOSIT 
Unpacking ,$100
Material Pickup at Office,NO DEPOSIT/PAYMENT REQUIRED UPON PICKUP 
Box Delivery,NO DEPOSIT/PAYMENT REQUIRED UPON DELIVERY
Ferry Load Only,ONE WAY FERRY FEE + $100 DEPOSIT and 2nd Ferry ticket fee added to file
Ferry Unload Only,$100
Same Day Ferry Moves,ONE WAY FERRY FEE + $100 DEPOSIT and 2nd Ferry ticket fee added to file
Bin Rental Drop Off,$75 delivery fee 
Bin Rental Pick Up,$75 delivery fee 
Material Pickup at the Office ,No deposit 
 Labour and Packing Only,$400
1 HR MIN/2-4 PM ONLY/AFTER JOBS UNDER 900 SQ FT ONLY,$400
