j,,,,,,,,,,,,,,,,,
LOCATION DETAILS:,,,,,,,,,,,,,,,,,
2 HOURS BEHIND,,,,,,,,,UPDATE ON RESTRICTED ARRIVAL WINDOWS:,,,,,,,,
OPS MANAGER: Danyloz. 437 882 6567 <- contact on What's App for last min,,,,,,,,,27TH TO THE 3RD,,,,,,,,
SALES #: (780) 229-6000 - Dial 2 for Operations,,,,,,,,,,,,,,,,,
INTERSECTION: Whitemud Dr NW and 99 St NW,,,,,,,,,,,,,,,,,
"ADDRESS: 9920 63 Ave. NW, Edmonton",,,,,,,,,PLEASE POST IN THE CHAT FOR ANY BOOKINGS 7 DAYS OR LESS ,,,,,,,,
E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,,TO GIVE HIM A HEADS UP,,,,,,,,
# OF TRUCKS: 6 - One seats 6 men,,,,,,,,,,,,,,,,,
Terminal ID: 7zQXS26yR,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,MAR,,EDMONTON,,,,,,,APR,
,,,,,,,,,,,,,,,,,
MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,1,2,3,4,,,,,,,,,,1,,
,,139,129,129,129,,,,,,,,,,169,,
6,7,8,9,10,11,,,,2,3,4,5,6,7,8,,
129,129,129,129,129,129,,,,139,139,139,139,139,139,139,,
13,14,15,16,17,18,,,,9,10,11,12,13,14,15,,
129,129,129,129,129,129,,,,139,139,139,139,139,139,139,,
20,21,22,23,24,25,,,,16,17,18,19,20,21,22,,
139,139,139,139,139,149,,,,139,149,149,149,149,149,139,,
27,28,29,30,31,,,,,23,24,25,26,27,28,29,,
139,139,139,139,149,,,,,149,149,149,149,149,159,169,,
,,,,,,,,,30,,,,,,,,
,,,,,,,,,169,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,MAY,,EDMONTON,,,,,,,JUN,
,,,,,,,,,,,,,,,,,
MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
1,2,3,4,5,6,,,,,,,,1,2,3,,
179,169,159,159,139,159,,,,,,,,179,179,179,,MAY 16TH: NEW STANDARD PRICING $139 to $149
8,9,10,11,12,13,,,,4,5,6,7,8,9,10,,
159,139,149,159,139,149,,,,179/149,149,159,159,159,159,169,,
