,,,,,,,,,,,,,,,,,
"LOCATION DETAILS: HALIFAX  Owner: Mahmoud
Owner Contact: 506 461 4870",,,,,,,,,,,,,,,,,
OPS MANAGER:  Arman 506 230 7585,,,,,,,,,UPDATE ON RESTRICTED ARRIVAL WINDOWS:,,,,,,,,
SALES #:  (902) 334-4717,,,,,,,,,27TH TO THE 3RD,,,,,,,,
INTERSECTION: KEARNEY LAKE ROAD AND BEDFORD HIGHWAY,,,,,,,,,,,,,,,,,
"ADDRESS:  380 Bedford Highway, Halifax, Nova Scotia B3M 2L4, Canada",,,,,,,,,,,,,,,,,
E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,,,,,,,,,,
"# OF TRUCKS: 1 (30Ft), 3 seats men",,,,,,,,,,,,,,,,,
Terminal ID: 29XBfUkx45bP ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,MAR,,EDMONTON,,,,,,,APR,
,,,,,,,,,,,,,,,,,
MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,1,2,3,4,,,,,,,,,,1,,
,,139,129,129,129,,,,,,,,,,169,,
6,7,8,9,10,11,,,,2,3,4,5,6,7,8,,
129,129,129,129,129,129,,,,139,139,139,139,139,139,139,,
13,14,15,16,17,18,,,,9,10,11,12,13,14,15,,
129,129,129,129,129,129,,,,139,139,139,139,139,139,139,,
20,21,22,23,24,25,,,,16,17,18,19,20,21,22,,
139,139,139,139,139,149,,,,139,149,149,149,149,149,139,,
27,28,29,30,31,,,,,23,24,25,26,27,28,29,,
139,139,139,139,149,,,,,149,149,149,149,149,159,169,,
,,,,,,,,,30,,,,,,,,
,,,,,,,,,169,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,MAY,,EDMONTON,,,,,,,JUN,
,,,,,,,,,,,,,,,,,
MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
1,2,3,4,5,6,,,,,,,,1,2,3,,
179,169,159,159,139,159,,,,,,,,179,179,179,,MAY 16TH: NEW STANDARD PRICING $139 to $149
8,9,10,11,12,13,,,,4,5,6,7,8,9,10,,
159,139,149,159,139,149,,,,179/149,149,159,159,159,159,169,,
15,16,17,18,19,20,,,,11,12,13,14,15,16,17,,
159,159,139,139,169,169,,,,159,159,159,169,149,179/159,169,,
22,23,24,25,26,27,,,,18,19,20,21,22,23,24,,
159,159,149,159,159,169,,,,149,159,159,159,149,149,169/159,,
29,30,31,,,,,,,25,26,27,28,29,30,,,
159,159,169,,,,,,,159,159,159,159,159,169,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,JUL,,EDMONTON,,,,,,,AUG,ONLY 3 MEN CREW TRUCKS AVAILABLE! OFFER 4TH GUY FOR A LOCAL MOVE ONLY! FOR LONG DISTANCE YOU CAN OFFER 4TH GUY TO HEALP LOADING IN EDMONTON. OFFLOAD MUST BE 3
,,,,,,,,,,,,,,,,,
MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,,,1,,,,,,1,2,3,4,5,,NEW STANDARD PRICE $159 - All prices went up by $10 (Aug - Sep)
,,,,,179,,,,,,199,199,199,199,179,,
3,4,5,6,7,8,,,,6,7,8,9,10,11,12,,
169,169,169,159,169,169,,,,159,159,179,169,169,179,189,,
10,11,12,13,14,15,,,,13,14,15,16,17,18,19,,
149,149,179,159,169,169,,,,159,159,179,169,179,159,189,,
17,18,19,20,21,22,,,,20,21,22,23,24,25,26,,
169,169,169,169,169,189,,,,189,189,189,199,199,199,199,,
24,25,26,27,28,29,,,,27,28,29,30,31,,,,
179,189,169,179,169,179,,,,199,199,199,199,199,,,,
31,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,SEP,,EDMONTON,,,,,,,OCT,base dropped to 139 oct 20
,,,,,,,,,,,,,,,,,
MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,,1,2,,,,1,2,3,4,5,6,7,,
,,,,199,199,,,,189,159,149,149,149,149,149,,
4,5,6,7,8,9,,,,8,9,10,11,12,13,14,,
159,159,159,159,159,159,,,,149,149,149,149,149,149,149,,
11,12,13,14,15,16,,,,15,16,17,18,19,20,21,,
159,159,169,159,189/159,159,,,,149,149,149,149,149,149,159,,
18,19,20,21,22,23,,,,22,23,24,25,26,27,28,,
179,159,159,159,179,189,,,,149,159,149,139,159,159,179,,
25,26,27,28,29,30,,,,29,30,31,,,,,,
189,169,179,199/169,209,179,,,,139,159,169,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Edmonton,,,,,,,NOV,,EDMONTON,,,,,,,DEC,
,,,,,,,,,,,,,,,,,
MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,1,2,3,4,,,,,,,,,1,2,,
,,179,139,139,139,,,,,,,,,199,189,,
6,7,8,9,10,11,,,,3,4,5,6,7,8,9,,
139,139,149,139,179,179,,,,189,139,159,139,139,149,139,,
13,14,15,16,17,18,,,,10,11,12,13,14,15,16,,
149,149,179,159,159,159,,,,149,139,159,139,139,159,159,,
20,21,22,23,24,25,,,,17,18,19,20,21,22,23,,
139,149,139,139,169,169,,,,139,149,139,159,159,159,149,,
27,28,29,30,,,,,,24,25,26,27,28,29,30,,
169,149,139,159,,,,,,139,139,139,149,149,149,149,,
,,,,,,,,,31,,,,,,,,
,,,,,,,,,149,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1 Truck,  2   >   3   >   4,,2 Trucks,  4   >   5   >   6,,,,,IMPORTANT NOTES,,,,,,,,
,119 > 179 > 259,,,238 > 298 > 358,,,,,,,,,,,,,
,129 > 189 > 269,,,258 > 318 > 378,,,,,ONLY 3 MEN CREW TRUCKS AVAILABLE FOR LONG DISTANCE! OFFER 4TH GUY FOR A LOCAL MOVE ONLY! FOR LONG DISTANCE YOU CAN OFFER 4TH GUY TO HELP LOADING LOCALLY. OFFLOAD MUST BE 3 SINCE ONLY 3 CAN SIT IN THE TRUCK. ,,,,,,,,
,139 > 199 > 279,,,278 > 338 > 398,,,,,,,,,,,,,
,149 > 209 > 289,,,298 > 358 > 418,,,,,,,,,,,,,
,159 > 219 > 299,,,318 > 378 > 438,,,,,MIN PRICE: $149 ON REGULAR DAYS,,,,,,,,
,169 > 229 > 309,,,338 > 398 > 458,,,,,,,,,,,,,
,179 > 239 > 319,,,358 > 418 > 478,,,,,,,,,,,,,
,189 > 249 > 329,,,378 > 438 > 498,,,,,,,,,,,,,
,199 > 259 > 339,,,398 > 458 > 518,,,,,,,,,,,,,
,209 > 269 > 349,,,418 > 478 > 538,,,,,,,,,,,,,
,219 > 279 > 359,,,438 > 498 > 558,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,2024 CALENDAR ACTIVE AS OF May 22nd,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HALIFAX,,,,,,,JAN,,HALIFAX,,,,,,,FEB,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,1,2,3,4,5,6,,,,,,,1,2,3,,
,129,119,119,119,119,119,,,,,,,119,119,119,,
7,8,9,10,11,12,13,,,4,5,6,7,8,9,10,,
119,119,119,119,119,119,119,,,119,119,119,119,119,119,119,,
14,15,16,17,18,19,20,,,11,12,13,14,15,16,17,,
119,119,119,119,119,119,119,,,119,119,119,119,119,119,119,,
21,22,23,24,25,26,27,,,18,19,20,21,22,23,24,,
119,119,119,119,119,119,119,,,119,119,119,119,119,119,119,,
28,29,30,31,,,,,,25,26,27,28,29,,,,
119,119,119,119,,,,,,119,119,119,119,119,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
