Kaylea Ganderton,,,,,,,,,,,,,,,,,
,LOCATION DETAILS: STARTING OCT 1ST,,,,,,,,,,,,,,,,
,OPS MANAGER: Todd Ireland (250) 800-0938 | Ext. 1117,,,,,,,,UPDATE ON RESTRICTED ARRIVAL WINDOWS:,,,,,,,,
,SALES #:  - Dial 2 for Operations,,,,,,,,27TH TO THE 3RD ,,,,,,,,
,INTERSECTION: Crowley Ave @ Ethel Street ,,,,,,,,,,,,,,,,
,"ADDRESS: 852 Crowley Ave, Kelowna, BC V1Y 7G7",,,,,,,,2 HOUR MINIMUMS (2-4PM) ONLY AFTER ANOTHER JOB = $179/HR ALWAYS,,,,,,,,
,E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,,,,,,,,,
,# OF TRUCKS: 1 rental -- ONLY seats 3 men,,,,,,,,,,,,,,,,
,Terminal ID 7cR4M74V8fxF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
WATERLOO,,,,,,,MAR,,WATERLOO,,,,,,,APR,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,1,2,3,4,,,,,,,,,1,,
,,,149,139,139,139,,,,,,,,,149,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,
139,139,139,139,139,139,139,,,139,139,139,139,139,139,139,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,29,,
139,139,139,139,139,149,,,,139,139,139,139,139,139,149,,
,,,,,,,,,30,,,,,,,,
,,,,,,,,,149,,,,,,,,
,,,,,,,,,,,,,,,,,
WATERLOO,,,,,,,MAY,,WATERLOO,,,,,,,JUN,
,,,,,,,,,,,,,,,,,Franchisees standard price at $139 requested by Tiam. Juan
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,UPDATE JUNE 23: WATERLOO $129/H
,1,2,3,4,5,6,,,,,,,1,2,3,,UPDATE JUNE 29: WATERLOO $139/H (left nov and dec since its winter)
,149,139,139,139,139,149,,,,,,,149,139,149,,
7,8,9,10,11,12,13,,,4,5,6,7,8,9,10,,
139,139,139,139,139,139,149,,,139,139,139,139,139,139,149,,
14,15,16,17,18,19,20,,,11,12,13,14,15,16,17,,
139,139,139,139,139,139,149,,,139,139,139,139,139,139,149,,
21,22,23,24,25,26,27,,,18,19,20,21,22,23,24,,
139,139,139,139,139,139,149,,,139,139,139,139,139,139,149,,
28,29,30,31,,,,,,25,26,27,28,29,30,,,
139,139,149,149,,,,,,139,139,139,139,149,149,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LONDON,,,,,,,JUL,,LONDON,,,,,,,AUG,
,,,,,,,,,,,,,,,,,ONLY 3 MEN CREW TRUCKS AVAILABLE FOR LONG DISTANCE! OFFER 4TH GUY FOR A LOCAL MOVE ONLY! FOR LONG DISTANCE YOU CAN OFFER 4TH GUY TO HELP LOADING LOCALLY. OFFLOAD MUST BE 3 SINCE ONLY 3 CAN SIT IN THE TRUCK. 
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,,,,1,,,,,1,2,3,4,5,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,6,7,,,10,11,12,,
,,,,,,,,,,,,,139,139,149,,
,,,,,,,,,13,14,15,16,17,18,19,,
,,,,,,,,,139,139,139,139,139,139,149,,
,,,,,,,,,20,21,22,23,24,25,26,,
,,,,,,,,,139,139,139,139,139,139,149,,
,,,,,,,,,27,28,29,30,31,,,,
,,,,,,,,,139,139,139,149,149,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
KELOWNA,,,,,,,SEP,,KELOWNA,,,,,,,OCT,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
