,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCATION DETAILS: MONCTON,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPS MANAGER: Kika 506-897-0928 <- contact for What's App for last min,,,,,,,,,UPDATE ON RESTRICTED ARRIVAL WINDOWS:,,,,,,,,,,,,,,,,,,
SALES #: 647 670 0928,,,,,,,,,27TH TO THE 3RD,,,,,,,,,,,,,,,,,,
INTERSECTION: CHAMPLAIN ST AND DIEPPE BLV,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ADDRESS:  1067 CHAMPLAIN STREET, DIEPPE, NB, E1A 1P9",,,,,,,,,,,,,,,,,,,,,,,,,,,
E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
# OF TRUCKS: 1 TRUCK :SEATS 3 MOVERS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terminal ID: 4ZEx5aN3k8u,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,1,2,3,4,,,,,,,,,1,,,,,,,1,2,3,4,,
,,,149,149,149,139,,,,,,,,,239/179,,,,March 30th: NEW STANDARD PRICING $149 to $149,,,149,149,149,139,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,,,5,6,7,8,9,10,11,,
139,139,139,139,139,139,199,,,149,149,149,149,149,149,179,,,,139,139,139,139,139,139,199,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,,,12,13,14,15,16,17,18,,
139,139,139,139,139,139,179,,,149,139,139,139,139,139,189,,,,139,139,139,139,139,139,179,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,,,19,20,21,22,23,24,25,,
149,149,149,149,139,149,149,,,149,139,139,139,139,149,229/189,,,,149,149,149,149,139,149,149,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,29,,,,26,27,28,29,30,31,,,
149,149,139,149,219/179,239/199,,,,149,149,179,149,199/179,249/209,209,,,,149,149,139,149,,,,,
,,,,,  ,,,,30,,,,,,,,,,,,,,,,,,
,,,,,,,,,209/189,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO - MAY,,,,,,,MAY,,TORONTO - JUNE,,,,,,,JUN,,,,,,,,,,,JUN
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,1,2,3,4,5,6,,,,,,,1,2,3,,,,,,,,1,2,3,,
,219/189,189/179,149,149,149,179/139,,,,,,,209/179,179/149,179/149,,,,,,,,179,149,149,,
7,8,9,10,11,12,13,,,4,5,6,7,8,9,10,,,,April 24th: NEW STANDARD PRICING $149 to $149,5,6,7,8,9,10,,
149,139,139,139,139,189/179,179/149,,,139,149,139,139,139,179,179/149,,,,149,149,149,149,149,149,149,,
14,15,16,17,18,19,20,,,11,12,13,14,15,16,17,,,,11,12,13,14,15,16,17,,
139,139,139,179,139,139,149,,,139,149,139,149,179/149,179,179,,,,149,149,149,149,149,149,179,,
21,22,23,24,25,26,27,,,18,19,20,21,22,23,24,,,,18,19,20,21,22,23,24,,
149,139,149,149,149/139,149/139,149/139,,,139,179/149,139,139,139,179/149,179/149,,,,149,149,149,149,149,149,179,,
28,29,30,31,,,,,,25,26,27,28,29,30,,,,,25,26,27,28,29,30,,,
149/139,149/139,149/139,149,,,,,,149,189/179,189/179,229/179,229/179,219/199,,,,,149,149,149,149,149,179,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO - JULY,,,,,,,JUL,,TORONTO - AUGUST,,,,,,,AUG,,,TORONTO NEW STANDARD PRICING: $149/H (JULY AND AUGUST),,,,,,,,SEP
,,,,,,,,,,,,,,,,,,,ONLY 3 MEN CREW TRUCKS AVAILABLE FOR LONG DISTANCE! OFFER 4TH GUY FOR A LOCAL MOVE ONLY! FOR LONG DISTANCE YOU CAN OFFER 4TH GUY TO HELP LOADING LOCALLY. OFFLOAD MUST BE 3 SINCE ONLY 3 CAN SIT IN THE TRUCK. ,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,,,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,,,,1,,,,,1,2,3,4,5,,,,,,,,,1,2,,
,,,,,,239/199,,,,,219/199,189/149,179,179,149,,,,,,,,,149,149,,
2,3,4,5,6,7,8,,,6,7,8,9,10,11,12,,,,MIN PRICE: $134,4,5,6,7,8,9,,
179/149,179/149,189/149,179,149,179,179,,,149,149,179,149,149,149,189/149,,,,,149,149,149,149,149,149,,
9,10,11,12,13,14,15,,,13,14,15,16,17,18,19,,,,10,11,12,13,14,15,16,,
149,149,149,149,149,149,199/179,,,149,179,199,179,179,209/149,209/179,,,,149,149,149,149,149,149,149,,
16,17,18,19,20,21,22,,,20,21,22,23,24,25,26,,,,17,18,19,20,21,22,23,,
149,179/149,149,179,149,149,189/149,,,179,149,189/179,199/149,179/149,199/179,229/179,,,,149,149,149,149,149,149,149,,
23,24,25,26,27,28,29,,,27,28,29,30,31,,,,,,24,25,26,27,28,29,30,,
149,149,189/149,199/179,179/149,199/179,199/179,,,189/149,199/179,189/149,189/179,209,,,,,,149,149,149,149,149,149,179,,
30,31,,,,,,,,,,,,,,,,,,,,,,,,,,
179/149,229/199,,,,,,,,,,,,,,,,,, ,,,,,,,,
,,,,,,,,,,,,r,,,,,,,,,,,,,,,
TORONTO,,,,,,,SEP,,TORONTO,,,,,,,OCT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,,,,,,,,,
,,,,,1,2,,,1,2,3,4,5,6,7,,,,,,,,,,,,
,,,,,249/209,229/189,,,179,149,149,149,149,149,149,,,,,,,,,,,,
3,4,5,6,7,8,9,,,8,9,10,11,12,13,14,,,,,,,,,,,,
179,149,149,149,149,179,179,,,149,149,149,149,149,149,149,,,,,,,,,,,,
10,11,12,13,14,15,16,,,15,16,17,18,19,20,21,,,,,,,,,,,,
149,149,149,149,149,149,179/149,,,149,149,149,149,149,149,149,,,,,,,,,,,,
17,18,19,20,21,22,23,,,22,23,24,25,26,27,28,,,,,,,,,,,,
149,149,149,139,139,149,149,,,139,139,139,139,139,149,149,,,,,,,,,,,,
24,25,26,27,28,29,30,,,29,30,31,,,,,,,,,,,,,,,,
139,139,129,149,149,189/179,179,,,149,149,149,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO,,,,,,,NOV,,TORONTO,,,,,,,DEC,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,,,,,,,,,
,,,1,2,3,4,,,,,,,,1,2,,,,,,,,,,,,
,,,149,149,139,149,,,,,,,,199,199,,,,,,,,,,,,
5,6,7,8,9,10,11,,,3,4,5,6,7,8,9,,,,,,,,,,,,
149,149,149,149,149,139,139,,,149,149,139,139,139,139,149,,,,,,,,,,,,
12,13,14,15,16,17,18,,,10,11,12,13,14,15,16,,,,,,,,,,,,
119,139,129,139,139,139,139,,,139,139,139,149,149,149,149,,,,,,,,,,,,
19,20,21,22,23,24,25,,,17,18,19,20,21,22,23,,,,,,,,,,,,
119,139,119,119,139,129,139,,,139,139,139,139,139,139,139,,,,,,,,,,,,
26,27,28,29,30,,,,,24,25,26,27,28,29,30,,,,,,,,,,,,
129,139,139,139,149,,,,,139,139,139,139,139,119,119,,,,,,,,,,,,
,,,,,,,,,31,,,,,,,,,,,,,,,,,,
,,,,,,,,,119,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Truck,  2   >   3   >   4,,2 Trucks,  4   >   5   >   6,,,,IMPORTANT NOTES,,,,,,,,,,,,,,,,,,
,,119 > 179 > 259,,,238 > 298 > 358,,,,,,,,,,,,,,,,,,,,,,
,,129 > 189 > 269,,,258 > 318 > 378,,,,ONLY 3 MEN CREW TRUCKS AVAILABLE FOR LONG DISTANCE! OFFER 4TH GUY FOR A LOCAL MOVE ONLY! FOR LONG DISTANCE YOU CAN OFFER 4TH GUY TO HELP LOADING LOCALLY. OFFLOAD MUST BE 3 SINCE ONLY 3 CAN SIT IN THE TRUCK. ONLY 3 MAN TRUCKS HAVE LIFTGATES,,,,,,,,,,,,,,,,,,
,,139 > 199 > 279,,,278 > 338 > 398,,,,,,,,,,,,,,,,,,,,,,
,,149 > 209 > 289,,,298 > 358 > 418,,,,,,,,,,,,,,,,,,,,,,
,,159 > 219 > 299,,,318 > 378 > 438,,,,,,,,,,,,,,,,,,,,,,
,,169 > 229 > 309,,,338 > 398 > 458,,,,,,,,,,,,,,,,,,,,,,
,,179 > 239 > 319,,,358 > 418 > 478,,,,MIN PRICE: $109 ON REGULAR DAYS,,,,,,,,,,,,,,,,,,
,,189 > 249 > 329,,,378 > 438 > 498,,,,,,,,,,,,,,,,,,,,,,
,,199 > 259 > 339,,,398 > 458 > 518,,,,,,,,,,,,,,,,,,,,,,
,,209 > 269 > 349,,,418 > 478 > 538,,,,,,,,,,,,,,,,,,,,,,
,,219 > 279 > 359,,,438 > 498 > 558,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024 CALENDAR ACTIVE AS OF DEC 8TH,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO,,,,,,,JAN,,TORONTO,,,,,,,FEB,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,,,,,,,,,
,1,2,3,4,5,6,,,,,,,1,2,3,,,,,,,,,,,,
,139,139,139,139,139,139,,,,,,,139,119,149,,,,,,,,,,,,
7,8,9,10,11,12,13,,,4,5,6,7,8,9,10,,,,,,,,,,,,
129,119,119,119,119,119,119,,,129,119,119,119,119,119,119,,,,,,,,,,,,
14,15,16,17,18,19,20,,,11,12,13,14,15,16,17,,,,,,,,,,,,
119,129,119,129,129,119,129,,,119,129,129,129,129,129,129,,,,,,,,,,,,
21,22,23,24,25,26,27,,,18,19,20,21,22,23,24,,,,,,,,,,,,
