.,,,,,,,,,,,,,,,,,
,LOCATION DETAILS:,,,,,,,,,,,,,,,,
,3 HOURS BEHIND,,,,,,,,UPDATED RESTRICTED ARRIVAL WINDOW 27TH TO THE 3RD ,,,,,,,,
,OPS MANAGER: RASOUL (604-368-1061),,,,,,,,,,,,,,,,
,SALES #: (236) 264-0244 - Dial 2 for Operations,,,,,,,,Let’s get moving Richmond is ready to move island or long distance at a flat rate.,,,,,,,,
,INTERSECTION: East-West Connector and Knight St,,,,,,,,,,,,,,,,
,"ADDRESS: 13353 Commerce Pkwy, Richmond",,,,,,,,"Please call and get approval, Raz, for the second job in one day",,,,,,,,
,E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,,,,,,,,,
,# OF TRUCKS: 1 - ONLY seats 3 men,,,,,,,,,,,,,,,,
,Terminal ID: 2r2eY7AYqu,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
BURNABY - MARCH,,,,,,,MAR,,,,,,,,,APR,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,,,1,2,3,4,,,,,,,,1,,,
,,,149,139,139,149,,,,,,,,199,,,
5,6,7,8,9,10,11,,,3,4,5,6,7,8,,,
139,139,139,139,139,139,199,,,199/159,149,149,149,149,149,,,
12,13,14,15,16,17,18,,,10,11,12,13,14,15,,,
139,139,139,139,139,139,149,,,149,149,149,159,199,199/159,,,
19,20,21,22,23,24,25,,,17,18,19,20,21,22,,,
149,149,149,149,149,159,199,,,179,149,149,149,159,199,,,
26,27,28,29,30,31,,,,24,25,26,27,28,29,,,
179,159,149,159,169,189,,,,149,199,199/179,199,219/199,219/199,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
BURNABY - MAY,,,,,,,MAY,,,,,,,,,JUN,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,1,2,3,4,5,6,,,,,,1,2,3,,,
,219/189,159,169,169,149,199,,,,,,239/209,199/169,159,,,
7,8,9,10,11,12,13,,,5,6,7,8,9,10,,,
149,149,149,149,149,149,149,,,159,149,149,149,149,149,,,
14,15,16,17,18,19,20,,,12,13,14,15,16,17,,,
149,149,159,149,239,189,159,,,149,149,179,169,179,169/149,,,
21,22,23,24,25,26,27,,,19,20,21,22,23,24,,,
149,149,149,149,149,149,149,,,179,149,149,149,149,199/169,,,
28,29,30,31,,,,,,26,27,28,29,30,,,,
219/189,199/169,219/189,229/199,,,,,,239,199/169,239/179,239/179,199/169,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
BURNABY,,,,,,,JUL,,,,,,,,,AUG,ONLY 3 MEN CREW TRUCKS AVAILABLE FOR LONG DISTANCE! OFFER 4TH GUY FOR A LOCAL MOVE ONLY! FOR LONG DISTANCE YOU CAN OFFER 4TH GUY TO HELP LOADING LOCALLY. OFFLOAD MUST BE 3 SINCE ONLY 3 CAN SIT IN THE TRUCK. 
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,,,,,,1,,,,1,2,3,4,5,,,
,,,,,,189/159,,,,209,169/159,209/179,209/179,179,,,
2,3,4,5,6,7,8,,,7,8,9,10,11,12,,,
149,149,179/159,149,149,149,149,,,149,149,149,149,159,199/179,,,
9,10,11,12,13,14,15,,,14,15,16,17,18,19,,,
149,159,159,149,149,169/149,179/159,,,169,149,149,169/159,149,169,,,
16,17,18,19,20,21,22,,,21,22,23,24,25,26,,,
169/149,149,149,169/149,149,149,189/169,,,189/169,189/169,179/159,149,169/159,219/179,,,
23,24,25,26,27,28,29,,,28,29,30,31,,,,,
179/159,149,169/159,209/179,189,189/169,199/169,,,189/179,209/169,249/169,219/179,,,,,
30,31,,,,,,,,,,,,,,,,
199/169,189/169,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"RICHMOND, BC",,,,,,,SEP,,,,,,,,,OCT,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,,,,,,,,,2,3,4,5,6,7,,,base price dropped to 139 oct 20
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,30,31,,,,,,,
,,,,,,,,,139,159,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"RICHMOND, BC",,,,,,,NOV,,,,,,,,,DEC,base price dropped to 129 nov 8
