,,,,,,,,,,,,,,,,,
,LOCATION DETAILS:,,,,,,,,,,,,,,,,
,3 HOURS BEHIND,,,,,,,,UPDATE ON RESTRICTED ARRIVAL WINDOWS:,,,,,,,,
,OPS MANAGER: DANIIL (416-817-7767) <- contact on What's App (last min job),,,,,,,,27TH TO THE 3RD,,,,,,,,
,SALES #: (604) 412-3412 - Dial 2 for Operations,,,,,,,,,,,,,,,,
,INTERSECTION: King George Blvd and Fraser Hwy,,,,,,,,*BASE RATE REDUCED FROM $149 TO $129 NOV 6TH,,,,,,,,
,"ADDRESS: 12160 103a Avenue, Surrey",,,,,,,,,,,,,,,,
,E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,24-26 October we will be having only 2 trucks available -- one will be getting wrapped ,,,,,,,,
,# OF TRUCKS: 3 - ONLY seats 3 men,,,,,,,,,,,,,,,,
,Terminal ID: 8h2M7nXMG,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
BURNABY - MARCH,,,,,,,MAR,,BURNABY - APRIL,,,,,,,APR,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,1,2,3,4,,,,,,,,,1,,
,,,149,139,139,149,,,,,,,,,199,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,
139,139,139,139,139,139,199,,,199/159,199/159,149,149,149,149,149,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,
139,139,139,139,139,139,149,,,149,149,149,149,159,199,199/159,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,
149,149,149,149,149,159,199,,,179,179,149,149,149,159,199,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,29,,
179,159,149,159,169,189,,,,149,149,199,199/179,199,219/199,219/199,,
,,,,,,,,,30,,,,,,,,
,,,,,,,,,219,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
BURNABY - MAY,,,,,,,MAY,,BURNABY - JUNE,,,,,,,JUN,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,1,2,3,4,5,6,,,,,,,1,2,3,,
,219/189,159,169,169,149,199,,,,,,,239/209,199/169,159,,
7,8,9,10,11,12,13,,,4,5,6,7,8,9,10,,
149,149,149,149,149,149,149,,,149,159,149,149,149,149,149,,
14,15,16,17,18,19,20,,,11,12,13,14,15,16,17,,
149,149,159,149,239,189,159,,,149,149,149,179,169,179,169/149,,
21,22,23,24,25,26,27,,,18,19,20,21,22,23,24,,
149,149,149,149,149,149,149,,,149,179,149,149,149,149,199/169,,
28,29,30,31,,,,,,25,26,27,28,29,30,,,
219/189,199/169,219/189,229/199,,,,,,149,239,199/169,239/179,239/179,199/169,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SURREY,,,,,,,JUL,,SURREY,,,,,,,AUG,ONLY 3 MEN CREW TRUCKS AVAILABLE FOR LONG DISTANCE! OFFER 4TH GUY FOR A LOCAL MOVE ONLY! FOR LONG DISTANCE YOU CAN OFFER 4TH GUY TO HELP LOADING LOCALLY. OFFLOAD MUST BE 3 SINCE ONLY 3 CAN SIT IN THE TRUCK. 
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,,,,1,,,,,1,2,3,4,5,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,6,7,8,9,10,11,12,,
,,,,,,,,,,,,,149,149,149,,
,,,,,,,,,13,14,15,16,17,18,19,,
,,,,,,,,,149,149,149,149,149,149,149,,
,,,,,,,,,20,21,22,23,24,25,26,,
,,,,,,,,,149,149,149,149,149,149,149,,
,,,,,,,,,27,28,29,30,31,,,,
,,,,,,,,,149,149,149,179,179,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SURREY,,,,,,,SEP,,SURREY,,,,,,,OCT,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,,,1,2,,,1,2,3,4,5,6,7,,
,,,,,179,149,,,179,149,149,149,149,149,149,,
3,4,5,6,7,8,9,,,8,9,10,11,12,13,14,,
179,149,149,149,149,149,149,,,149,149,149,149,149,149,149,,
10,11,12,13,14,15,16,,,15,16,17,18,19,20,21,,
149,149,149,149,149,149,149,,,149,149,149,149,149,149,149,,
17,18,19,20,21,22,23,,,22,23,24,25,26,27,28,,
149,149,149,149,149,149,149,,,149,149,149,149,149,149,149,,
24,25,26,27,28,29,30,,,29,30,31,,,,,,
149,149,149,149,149,149,179,,,149,149,179,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SURREY,,,,,,,NOV,,SURREY,,,,,,,DEC,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,1,2,3,4,,,,,,,,1,2,,
,,,159,149,149,149,,,,,,,,159,119,,
5,6,7,8,9,10,11,,,3,4,5,6,7,8,9,,
149,149,129,129,129,129,129,,,119,129,119,119,119,119,119,,
12,13,14,15,16,17,18,,,10,11,12,13,14,15,16,,
129,129,129,129,129,129,119,,,119,129,119,119,129,129,159,,
19,20,21,22,23,24,25,,,17,18,19,20,21,22,23,,
119,119,119,119,119,119,119,,,119,119,119,119,119,139,119,,
26,27,28,29,30,,,,,24,25,26,27,28,29,30,,
119,119,119,119,149,,,,,119,119,119,119,119,139,139,,
,,,,,,,,,31,,,,,,,,
,,,,,,,,,139,,,,,,,,
,,,,,,,,,,,,,,,,,
1 Truck,  2   >   3   >   4,,2 Trucks,  4   >   5   >   6,,,,,IMPORTANT NOTES,,,,,,,,
,119 > 179 > 259,,,238 > 298 > 358,,,,,,,,,,,,,
,129 > 189 > 269,,,258 > 318 > 378,,,,,ONLY 3 MEN CREW TRUCKS AVAILABLE FOR LONG DISTANCE! OFFER 4TH GUY FOR A LOCAL MOVE ONLY! FOR LONG DISTANCE YOU CAN OFFER 4TH GUY TO HELP LOADING LOCALLY. OFFLOAD MUST BE 3 SINCE ONLY 3 CAN SIT IN THE TRUCK. ,,,,,,,,
,139 > 199 > 279,,,278 > 338 > 398,,,,,,,,,,,,,
,149 > 209 > 289,,,298 > 358 > 418,,,,,,,,,,,,,
,159 > 219 > 299,,,318 > 378 > 438,,,,,,,,,,,,,
,169 > 229 > 309,,,338 > 398 > 458,,,,,,,,,,,,,
,179 > 239 > 319,,,358 > 418 > 478,,,,,MIN PRICE: $119 ON REGULAR DAYS,,,,,,,,
,189 > 249 > 329,,,378 > 438 > 498,,,,,JAN 11: BASE PRICING INCREASED TO $129/HR,,,,,,,,
,199 > 259 > 339,,,398 > 458 > 518,,,,,,,,,,,,,
,209 > 269 > 349,,,418 > 478 > 538,,,,,,,,,,,,,
,219 > 279 > 359,,,438 > 498 > 558,,,,,,,,,,,,,
,229 > 289 > 369,,,448 > 508 > 568,,,,,,,,,,,,,
,239 > 299 > 379,,,458 > 518 > 578,,,,,2024 CALENDAR ACTIVE AS OF DEC 8TH,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SURREY,,,,,,,JAN,,SURREY,,,,,,,FEB,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,1,2,3,4,5,6,,,,,,,1,2,3,,
,119,129,119,119,119,129,,,,,,,149,139,139,,
7,8,9,10,11,12,13,,,4,5,6,7,8,9,10,,
119,129,119,119,129,129,129,,,129,129,129,119,119,119,119,,
14,15,16,17,18,19,20,,,11,12,13,14,15,16,17,,
129,129,129,129,139,129,129,,,119,119,119,119,129,129,119,,
21,22,23,24,25,26,27,,,18,19,20,21,22,23,24,,
129,129,129,129,129,149,129,,,119,119,119,119,119,119,119,,
28,29,30,31,,,,,,25,26,27,28,29,,,,
129,129,129,149,,,,,,119,119,149,139,149,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SURREY,,,,,,,MAR,,SURREY,,,,,,,APR,
,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,,,1,2,,,,1,2,3,4,5,6,,
