 ,,,,,,,,,,,,,,,,,,
,LOCATION DETAILS:,,,,,,,,,,,,,,,,,
,3 HOURS BEHIND,,,,,,,,UPDATE ON RESTRICTED ARRIVAL WINDOWS:,,,,,,,,,
,OPS MANAGER:  Raz and Shabaz,,,,,,,,27TH TO THE 3RD,,,,,,,,,
,SALES #: (604) 238-1500 - Dial 2 for Operations,,,,,,,,,,,,,,,,,
,INTERSECTION:  Main ST and INdustrial Ave,,,,,,,,,,,,,,,,,
,"ADDRESS:400 Industrial Avenue, Vancouver V6A2P3",,,,,,,,,,,,,,,,,
,E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,,,,,,,,,,
,# OF TRUCKS:  9 trucks - 5 seats 3 men  ,,,,,,,,,,,,,,,,,
,Terminal ID: 4bt5PHj6YWY4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
VANCOUVER - MARCH,,,,,,,MAR,,VANCOUVER - APRIL,,,,,,,APR,,
,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,,,1,2,3,4,,,,,,,,,1,,,
,,,149,139,139,149,,,,,,,,,199,,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,,
139,139,139,139,139,139,199,,,199/159,199/159,149,149,149,149,149,,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,,
139,139,139,139,139,139,149,,,149,149,149,149,159,199,199/159,,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,,
149,149,149,149,149,159,199,,,179,179,149,149,149,159,199,,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,29,,,
179,159,149,159,169,189,,,,149,149,199,199/179,199,219/199,219/199,,,
,,,,,,,,,30,,,,,,,,,
,,,,,,,,,219,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
VANCOUVER - MAY,,,,,,,MAY,,VANCOUVER - JUNE,,,,,,,JUN,,
,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,1,2,3,4,5,6,,,,,,,1,2,3,,,
,219/189,159,169,179,189,169,,,,,,,239/179,179/149,159,,,
7,8,9,10,11,12,13,,,4,5,6,7,8,9,10,,,
149,149,149,149,199/179,179/169,179,,,159,139,139,139,139,199,239/179,,,
14,15,16,17,18,19,20,,,11,12,13,14,15,16,17,,,
149,169,149,169,199,159,199,,,159,139,149,149,149,149,159,,,
21,22,23,24,25,26,27,,,18,19,20,21,22,23,24,,,
209/189,139,139,149,149,159,159,,,149,139,159,159,149,139,169/149,,,
28,29,30,31,,,,,,25,26,27,28,29,30,,,,
169/159,199/169,199/159,179/159,,,,,,169,209/159,239/179,189/159,209/159,239/179,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
VANCOUVER - JULY,,,,,,,JUL,,VANCOUVER - AUGUST,,,,,,,AUG,,ONLY 3 MEN CREW TRUCKS AVAILABLE FOR LONG DISTANCE! OFFER 4TH GUY FOR A LOCAL MOVE ONLY! FOR LONG DISTANCE YOU CAN OFFER 4TH GUY TO HELP LOADING LOCALLY. OFFLOAD MUST BE 3 SINCE ONLY 3 CAN SIT IN THE TRUCK. 
,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,,,,,,1,,,,,1,2,3,4,5,,,
,,,,,,209/169,,,,,199,169/149,149,199/189,199/169,,,
2,3,4,5,6,7,8,,,6,7,8,9,10,11,12,,,
209/179,199/159,149,149,149,149,179,,,149,189/169,169,179,159,159,209/159,,,
9,10,11,12,13,14,15,,,13,14,15,16,17,18,19,,,
169,159,149,149,169,149,159,,,179,149,189/169,149,179,199/179,219/189,,,
16,17,18,19,20,21,22,,,20,21,22,23,24,25,26,,,
149,159,149,189/159,189/159,159,159,,,149,179,209/169,189/169,189/169,209/169,219/169,,,
23,24,25,26,27,28,29,,,27,28,29,30,31,,,,,
149,169,189/159,179/159,199/179,199/179,209/179,,,189,189/199,199/219,219/189,199/249,,,,,
30,31,,,,,,,,,,,,,,,,,
239/179,219/179,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
VANCOUVER - SEPTEMBER,,,,,,,SEP,,VANCOUVER - OCTOBER,,,,,,,OCT,,base price dropped to 139 oct 20
,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,,,,,1,2,,,1,2,3,4,5,6,7,,,
,,,,,239/189,219/179,,,199/179,199/179,149,149,149,149,149,,,
3,4,5,6,7,8,9,,,8,9,10,11,12,13,14,,,
199/179,199/179,199/179,169,149,149,179/169,,,149,149,149,149,149,149,149,,,
10,11,12,13,14,15,16,,,15,16,17,18,19,20,21,,,
159,159,149,149,189/169,189/179,189/169,,,149,149,149,149,149,149,139,,,
17,18,19,20,21,22,23,,,22,23,24,25,26,27,28,,,
159,179,149,159,179/159,179,199/169,,,139,149,139,139,139,149,149,,,
24,25,26,27,28,29,30,,,29,30,31,,,,,,,
199/179,189/169,179/159,199/189,209/169,219,209,,,159,149,159,,,,,,,
,,,,,,,,,,,,,,v,,,,
,,,,,,,,,,,,,,,,,,
VANCOUVER - NOVEMBER,,,,,,,NOV,,VANCOUVER - DECEMBER,,,,,,,DEC,,base price lowered for second half of december to 129
,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,,,1,2,3,4,,,,,,,,1,2,,,
,,,159,139,139,169,,,,,,,,189/159,189,,,
5,6,7,8,9,10,11,,,3,4,5,6,7,8,9,,,
139,139,139,139,139,139,149,,,169,159,139,149,139,169,169,,,
12,13,14,15,16,17,18,,,10,11,12,13,14,15,16,,,
119,139,119,169,169,139,139,,,139,139,139,139,139,149,159,,,
19,20,21,22,23,24,25,,,17,18,19,20,21,22,23,,,
119,119,119,119,119,139,149,,,149,129,129,149,129,139,129,,,
26,27,28,29,30,,,,,24,25,26,27,28,29,30,,,
119,129,139,149,199/179,,,,,129,129,129,129,149,149,149,,,
,,,,,,,,,31,,,,,,,,,
,,,,,,,,,139,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1 Truck,  2   >   3   >   4,,2 Trucks,  4   >   5   >   6,,,,IMPORTANT NOTES,,,,,,,,,
,,119 > 179 > 259,,,238 > 298 > 358,,,,,,,,,,,,,
,,129 > 189 > 269,,,258 > 318 > 378,,,,ONLY 3 MEN CREW TRUCKS AVAILABLE FOR LONG DISTANCE! OFFER 4TH GUY FOR A LOCAL MOVE ONLY! FOR LONG DISTANCE YOU CAN OFFER 4TH GUY TO HELP LOADING LOCALLY. OFFLOAD MUST BE 3 SINCE ONLY 3 CAN SIT IN THE TRUCK. ,,,,,,,,,
,,139 > 199 > 279,,,278 > 338 > 398,,,,,,,,,,,,,
,,149 > 209 > 289,,,298 > 358 > 418,,,,,,,,,,,,,
,,159 > 219 > 299,,,318 > 378 > 438,,,,MIN PRICE: $109 ON REGULAR DAYS,,,,,,,,,
,,169 > 229 > 309,,,338 > 398 > 458,,,,,,,,,,,,,
,,179 > 239 > 319,,,358 > 418 > 478,,,,,,,,,,,,,
,,189 > 249 > 329,,,378 > 438 > 498,,,,,,,,,,,,,
,,199 > 259 > 339,,,398 > 458 > 518,,,,,,,,,,,,,
,,209 > 269 > 349,,,418 > 478 > 538,,,,,,,,,,,,,
,,219 > 279 > 359,,,438 > 498 > 558,,,,,,,,,,,,,
,,229 > 289 > 369,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024 CALENDAR ACTIVE AS OF DEC 8TH,,,,,,,,,
,,,,,,,,,,,,,,,,,,
VANCOUVER,,,,,,,JAN,,VANCOUVER,,,,,,,FEB,,
,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,1,2,3,4,5,6,,,,,,,1,2,3,,,
,159,139,139,139,139,139,,,,,,,159,159,169,,,
7,8,9,10,11,12,13,,,4,5,6,7,8,9,10,,,
139,139,139,139,149,159,159,,,139,139,139,139,139,149,139,,,
14,15,16,17,18,19,20,,,11,12,13,14,15,16,17,,,
149,139,149,139,139,139,139,,,139,139,139,139,139,139,139,,,
21,22,23,24,25,26,27,,,18,19,20,21,22,23,24,,,
139,139,139,139,139,169,169,,,139,139,139,139,139,139,139,,,
28,29,30,31,,,,,,25,26,27,28,29,,,,,
