 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,LOCATION DETAILS:,,,,,,,,UPDATE ON RESTRICTED ARRIVAL WINDOWS:,,,,,,,,,
,OPS MANAGER:  SOMMET 226-883-2259,,,,,,,,27TH TO THE 3RD,,,,,,,,,
,SALES #: (905) 215-0660,,,,,,,,,,,,,,,,,
,INTERSECTION: Steele and Jane,,,,,,,,,,,,,,,,,
,"ADDRESS: 3100 Steeles Avenue West, Vaughan, Ontario L4K 3C7, Canada",,,,,,,,,,,,,,,,,
,E-TRANSFER: sales@letsgetmovinggroup.com,,,,,,,,Agents can book any lead they receive. They don't have to wait for confirmation. including same day or next day. ,,,,,,,,,
,# OF TRUCKS: Renting 3 Trucks  seats 3 men,,,,,,,,Same day up-to 3 trucks and for 4th contact them.,,,,,,,,,
,Terminal ID: 2j5s6rDA4            ,,,,,,,,And for other day or next day unlimited.,,,,,,,,,
,,,,,,,,,,,,,,,,,,
VANCOUVER - MARCH,,,,,,,MAR,,VANCOUVER - APRIL,,,,,,,APR,,
,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,,,1,2,3,4,,,,,,,,,1,,,
,,,149,139,139,149,,,,,,,,,199,,,
5,6,7,8,9,10,11,,,2,3,4,5,6,7,8,,,
139,139,139,139,139,139,199,,,199/159,199/159,149,149,149,149,149,,,
12,13,14,15,16,17,18,,,9,10,11,12,13,14,15,,,
139,139,139,139,139,139,149,,,149,149,149,149,159,199,199/159,,,
19,20,21,22,23,24,25,,,16,17,18,19,20,21,22,,,
149,149,149,149,149,159,199,,,179,179,149,149,149,159,199,,,
26,27,28,29,30,31,,,,23,24,25,26,27,28,29,,,
179,159,149,159,169,189,,,,149,149,199,199/179,199,219/199,219/199,,,
,,,,,,,,,30,,,,,,,,,
,,,,,,,,,219,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
VANCOUVER - MAY,,,,,,,MAY,,VANCOUVER - JUNE,,,,,,,JUN,,
,,,,,,,,,,,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,
,1,2,3,4,5,6,,,,,,,1,2,3,,,
,219/189,159,169,179,189,169,,,,,,,239/179,179/149,159,,,
7,8,9,10,11,12,13,,,4,5,6,7,8,9,10,,,
149,149,149,149,199/179,179/169,179,,,159,139,139,139,139,199,239/179,,,
14,15,16,17,18,19,20,,,11,12,13,14,15,16,17,,,
149,169,149,169,199,159,199,,,159,139,149,149,149,149,159,,,
21,22,23,24,25,26,27,,,18,19,20,21,22,23,24,,,
209/189,139,139,149,149,159,159,,,149,139,159,159,149,139,169/149,,,
28,29,30,31,,,,,,25,26,27,28,29,30,,,,
169/159,199/169,199/159,179/159,,,,,,169,209/159,239/179,189/159,209/159,239/179,,,,
,,,,,,,,,,,,,,,,,,
