,,,,,,,,
,,,,,,,,
LOCATION,CONTACT,DIRECT LINE,OWNERSHIP TYPE,TRUCKS,TRUCKS SHARED WITH,STORAGE,STORAGE SIZES / PRICES PER MONTH,CX CARE
ALEXANDRIA,KENNY LI,1301-222-3620,FRANCHISE,1,Shares 1 truck with Washington DC,NO,,YES
ARLINGTON,VU,1571-216-7296,FRANCHISE,1,NORTH VIRGINIA,NO,,YES
AUSTIN,David Kaim,512-955-1249,FRANCHISE,1 +,,NO,,YES
BOISE,Brent Caito,208-809-1693,FRANCHISE,1 +,,NO,,YES
HOUSTON,ARIEL / EDGAR,1(832) 630-4847,FRANCHISE,1 +,,NO,,YES
LOS ANGELES,ARAM,702-985-5910,FRANCHISE,1 +,,NO,,YES
MARIETTA,ZAKIR SYED,(502) 345-8756,FRANCHISE,2,,NO,,YES
NASHVILLE,Omar Salim,615-609-3313,FRANCHISE,1+,,NO,,YES
NEW JERSEY,KATERINA SIMONOVSKA,973-629-2000,FRANCHISE,1+,,LOCKER,,YES
NEW JERSEY (Little Ferry) 2nd Location,KATERINA SIMONOVSKA,973-629-2000,FRANCHISE,1+,,LOCKER,,YES
NORTH VIRGINIA,VU,1571-216-7296,FRANCHISE,1,ARLINGTON,NO,,YES
PASADENA,ARIEL / EDGAR,1(832) 630-4847,FRANCHISE,1 +,,NO,,YES
PHOENIX,DEVON,,CORPORATE,3,,LOCKER,"-7x5x7- $125 
-oversized items at $75",YES
TULSA,Mike Lowry, 918-408-6746,FRANCHISE,1,,NO,,YES
WASHINGTON DC,KENNY LI,1301-222-3620,FRANCHISE,1,Shares 1 truck with Alexandria,NO,,YES
CHICAGO,Bella Assefa,316-212-5474,FRANCHISE,1+,,NO,,YES
PHILADELPHIA,Franklin Matias,856-952-7114,FRANCHISE,1+,,NO,,YES
